id,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
100249,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0
2463,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26
22924,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0
25542,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0
115972,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19
2980,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0
125097,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0
46701,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4
108006,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0
19578,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0
59508,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0
56446,1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17
48800,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0
129592,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18
114039,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0
66800,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0
106799,2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17
47057,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3
61824,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0
68207,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8
125512,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0
93019,2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0
87296,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2
76748,4,3,3,3,3,3,4,3,3,3,4,4,3,3,7,2
85879,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0
63961,4,2,4,3,4,3,3,1,1,4,2,3,1,1,0,0
94760,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0
49608,5,3,3,3,5,5,5,5,5,2,4,1,1,5,31,
80520,2,1,1,4,3,1,3,3,1,1,4,2,3,3,97,89
23328,2,2,2,2,1,1,5,4,4,4,4,4,4,1,0,0
13560,1,4,1,2,2,1,1,2,4,3,5,4,5,2,16,34
119121,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0
42917,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0
52954,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4
83112,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0
88574,2,0,2,3,5,2,1,5,3,4,3,3,1,5,4,0
111570,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0
28662,2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0
27177,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0
129585,3,4,3,3,4,5,5,4,4,4,4,5,4,3,10,0
35759,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0
49475,3,3,3,3,2,4,3,2,2,2,3,1,2,2,0,0
78904,2,2,2,2,3,2,3,3,3,5,5,4,4,3,11,6
29619,1,1,1,1,3,1,3,3,1,5,1,3,2,3,0,0
77512,1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0
31631,5,5,5,5,5,5,5,5,2,3,1,1,2,5,9,5
38913,4,4,4,4,1,4,5,4,4,4,4,1,4,2,0,0
35366,2,4,2,4,1,3,2,2,2,2,2,4,2,3,0,9
111817,3,3,3,5,4,3,4,4,5,4,4,5,5,4,29,28
12259,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0
19790,2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101
33260,3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11
107079,2,4,5,1,2,4,5,3,3,5,3,1,3,1,0,0
15174,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4
23620,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0
18128,5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0
105291,4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3
56451,3,3,3,4,1,3,1,1,2,2,3,1,5,1,24,14
102068,1,4,1,1,5,5,4,4,4,1,4,5,4,3,37,20
57995,1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0
146,4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61
18770,3,1,1,1,3,3,3,3,3,4,3,4,4,3,53,48
42774,4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6
13776,2,2,2,5,5,2,5,5,2,5,5,1,4,5,4,3
103702,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0
69826,3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0
57906,4,3,3,3,4,4,4,4,2,3,3,1,3,4,0,0
31358,5,5,5,5,1,1,5,5,5,5,5,5,5,5,0,11
92805,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0
104375,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0
109896,2,2,2,3,4,2,3,4,1,4,4,1,4,4,7,0
102955,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0
44736,2,5,3,5,2,3,4,3,3,2,3,4,3,3,28,18
28135,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0,0
55871,2,2,2,2,5,5,5,5,3,4,4,5,4,5,36,28
8818,4,4,4,1,4,5,4,5,5,4,5,4,5,5,0,0
86148,3,3,3,4,4,3,4,4,4,5,5,5,5,4,12,0
120162,4,0,4,1,5,5,4,4,4,4,4,3,4,3,13,32
117547,2,2,2,2,5,5,5,5,5,5,5,4,5,4,1,0
112385,4,2,3,3,4,4,4,4,1,2,3,1,3,4,23,6
19908,2,4,3,3,4,4,3,2,2,2,2,1,2,4,0,0
45098,2,2,5,2,1,2,1,5,5,5,3,3,5,3,6,6
43810,4,0,5,3,4,5,4,4,4,2,5,4,4,4,0,13
22981,4,3,3,3,2,5,1,5,5,4,5,3,5,1,0,16
68134,1,1,1,1,5,5,5,3,3,3,3,5,3,3,0,0
23518,2,3,2,3,2,3,5,2,2,2,2,5,2,3,0,0
109188,3,1,1,1,2,2,2,3,3,3,3,2,3,2,15,15
1150,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0
44586,4,1,4,3,5,4,5,5,4,5,3,4,3,5,45,33
84299,0,1,1,2,5,5,4,3,3,3,3,5,3,5,39,41
103793,1,1,1,1,5,4,5,5,5,5,4,5,5,5,7,0
35032,5,1,4,1,3,3,3,5,5,5,5,3,5,1,0,0
103291,3,3,3,3,4,4,4,4,3,5,5,4,5,4,209,191
93909,2,2,2,2,2,4,5,5,5,5,5,4,5,4,0,2
127925,4,2,2,2,4,4,3,4,4,4,4,3,4,2,60,37
128097,3,0,3,5,3,3,3,1,1,3,2,3,3,3,0,1
26149,3,5,3,4,3,3,3,5,5,4,1,3,4,3,149,138
95886,2,4,2,3,4,2,4,4,5,3,5,3,4,4,26,13
125425,1,4,4,4,3,3,4,1,1,1,1,4,1,2,12,4
120078,2,5,5,5,2,2,2,2,2,4,3,3,3,2,0,53
60625,2,5,2,3,3,2,3,3,4,2,1,5,5,3,24,14
115031,5,5,5,4,4,5,4,4,4,4,5,3,4,4,11,0
37077,1,5,1,5,4,4,4,1,1,1,1,4,1,4,18,7
69252,4,2,2,2,4,4,4,4,3,4,3,3,4,4,15,22
12194,2,4,1,4,2,2,2,2,1,2,4,4,3,2,5,0
80188,3,1,3,3,3,4,4,2,4,4,3,4,1,4,59,57
10430,4,4,4,3,4,4,2,4,3,4,4,4,4,4,0,7
21262,4,3,4,4,1,4,1,1,4,5,3,1,4,1,35,28
55236,4,4,4,4,2,4,4,4,4,4,4,5,4,5,1,0
126917,2,2,2,2,5,5,5,5,5,5,5,5,5,3,62,65
112190,3,3,3,3,3,4,4,4,4,4,4,3,4,3,23,4
16342,2,5,5,5,2,2,1,2,3,4,4,4,4,2,21,44
2201,4,4,4,5,4,4,4,4,3,4,5,5,4,4,0,0
53687,4,5,5,5,4,4,4,4,2,1,2,2,3,4,3,0
47168,3,3,2,3,4,3,3,4,4,3,4,3,4,5,10,0
8782,2,2,2,2,3,5,5,4,4,4,4,4,4,3,8,0
75468,3,4,3,3,5,3,2,5,4,2,3,1,4,5,0,0
663,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0
74740,3,5,3,3,4,5,5,1,1,3,1,2,1,5,91,76
117904,3,3,2,2,2,2,2,2,1,5,3,1,3,2,113,107
59599,2,1,1,1,2,3,2,2,2,4,3,3,4,2,27,12
29479,4,5,5,5,4,4,4,4,3,5,4,1,2,4,0,0
105096,2,2,2,2,4,4,4,4,3,4,5,3,4,4,28,11
94421,0,1,1,1,2,2,2,2,5,3,5,3,4,2,38,28
49058,1,1,1,5,4,1,2,4,2,4,5,5,2,4,0,0
47795,5,5,5,5,5,5,4,4,4,4,4,4,4,3,83,92
125451,5,5,5,5,5,5,5,3,4,4,4,5,3,5,15,32
96114,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0
23241,2,5,2,3,2,2,2,2,5,5,4,5,4,2,0,0
106258,3,3,3,3,5,4,5,5,4,3,4,3,5,5,0,0
64874,3,2,3,3,1,3,1,1,4,5,4,3,3,1,0,0
100136,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,0
51774,1,4,0,3,1,0,1,1,3,1,3,3,4,1,0,0
124301,5,0,5,1,2,5,2,2,5,4,5,3,4,2,0,0
36127,3,2,4,4,3,4,4,3,3,3,3,1,3,3,0,8
121855,5,5,5,5,5,5,4,5,5,5,5,4,5,3,4,2
52648,2,2,2,2,5,2,2,5,4,5,3,2,3,5,0,0
38803,2,1,2,3,1,2,1,1,4,1,3,1,4,1,16,12
39916,1,1,3,1,5,5,5,5,3,2,4,5,5,5,0,0
95301,2,4,2,3,2,2,2,2,1,5,4,4,4,2,15,7
16505,2,5,2,3,5,2,5,5,3,3,5,5,4,5,8,16
63771,3,3,3,3,3,4,5,4,4,4,4,4,4,5,18,0
51960,3,0,3,1,5,3,5,5,3,5,4,5,3,5,0,0
111305,2,4,4,4,2,2,2,2,4,5,3,4,3,2,0,0
114340,2,4,2,2,4,2,4,4,4,3,4,3,5,4,0,0
17379,5,5,5,5,5,5,3,5,5,5,5,2,5,3,0,0
65992,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0
104578,5,3,5,4,1,5,1,1,5,2,4,4,4,1,0,0
7443,4,3,4,1,3,4,3,3,3,2,2,3,5,3,0,11
67768,1,5,5,5,1,1,4,1,2,3,4,3,3,1,0,13
89581,4,4,4,4,5,4,5,5,4,1,4,3,3,5,0,1
47417,2,1,1,1,3,4,4,2,2,2,2,1,2,4,0,0
30231,2,4,4,4,4,2,4,2,2,2,2,5,2,1,12,8
14343,4,5,4,3,3,4,1,3,5,3,4,4,4,3,0,0
79924,4,2,2,2,4,4,4,1,5,3,3,4,2,4,176,164
105654,1,1,1,2,5,1,5,5,1,3,3,4,2,5,38,28
29495,3,4,3,3,1,3,3,1,1,5,3,2,4,1,0,0
98183,2,2,2,3,5,2,5,5,5,4,5,3,4,5,0,0
87554,4,4,2,1,5,4,4,3,3,2,2,4,3,5,0,0
83683,0,0,1,1,5,1,5,5,4,2,4,2,1,5,0,0
74603,2,4,4,4,5,4,4,2,2,2,2,1,2,4,0,0
83191,5,5,5,5,2,5,4,5,5,5,5,5,5,3,0,5
110103,1,1,1,1,4,5,5,5,5,5,5,4,5,4,19,5
57026,3,3,3,3,5,3,5,3,3,3,3,3,3,5,46,24
91205,1,2,1,4,3,3,3,4,4,1,4,1,4,4,0,0
55470,2,2,2,2,3,3,5,5,5,4,5,3,5,3,13,0
53922,1,1,1,4,4,1,2,4,4,1,4,2,3,4,39,34
129138,4,4,4,4,4,5,4,5,5,5,5,3,5,4,0,6
2034,2,2,2,2,4,4,5,2,2,2,2,5,2,4,0,3
37286,5,3,3,3,5,5,5,5,3,2,4,5,2,5,20,9
32818,2,1,1,1,2,2,2,2,2,2,3,2,4,2,0,0
46695,2,3,2,3,4,3,4,1,1,2,1,2,1,1,0,32
121598,5,5,4,2,4,4,4,4,5,4,5,5,5,4,22,22
44039,1,1,0,3,5,0,5,5,2,2,2,2,2,5,0,8
102733,3,1,3,4,3,3,3,3,1,4,4,1,3,3,0,0
85600,0,4,0,4,5,0,5,5,5,1,2,4,3,5,9,5
10833,2,2,2,2,4,4,4,4,5,3,4,4,4,4,7,2
81553,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0
24745,4,3,3,3,4,4,4,4,4,3,3,1,4,4,0,5
58871,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0
68900,0,5,0,3,5,0,5,5,4,4,5,5,5,5,0,0
31952,5,5,4,5,5,5,4,5,5,5,5,5,5,4,0,0
98758,3,3,3,3,2,5,4,5,5,5,5,5,5,4,0,0
59963,5,5,5,5,2,4,2,4,4,4,4,4,4,3,0,6
38236,3,3,3,3,2,5,4,3,3,4,3,3,3,5,0,0
43811,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0
58215,2,5,2,2,4,2,4,4,2,5,3,1,4,4,0,5
88293,1,1,1,1,3,4,4,4,4,4,4,3,4,3,1,0
37225,2,2,2,2,3,4,5,4,4,4,4,5,4,4,22,21
43935,5,3,5,3,5,5,5,5,5,1,5,3,5,5,0,0
48899,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0
99082,1,1,1,1,2,2,1,2,1,2,2,4,2,2,5,7
75859,1,5,0,4,5,0,5,5,3,3,4,4,4,5,0,0
85109,4,4,4,4,3,4,4,5,5,5,5,5,5,4,0,0
118135,2,3,3,3,4,3,4,2,2,2,2,4,2,2,73,62
89169,1,4,1,3,1,1,1,1,4,4,4,4,3,1,0,0
4988,2,2,2,5,5,2,2,5,4,3,4,4,4,5,53,52
81441,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0,0
37707,2,2,2,4,1,2,1,1,1,4,4,1,4,1,20,15
94317,4,4,4,4,4,4,4,4,3,2,5,4,5,4,0,0
42242,2,2,2,2,5,1,5,4,4,4,4,4,4,3,0,0
8085,1,1,1,1,4,5,5,4,4,4,4,5,4,3,0,4
42926,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0
114663,5,5,5,5,2,4,5,4,4,4,4,3,4,5,54,40
63597,4,4,4,4,4,4,4,4,5,2,5,3,4,4,0,0
78220,2,4,2,5,4,2,4,4,3,1,4,1,2,4,0,0
